,Layout,Wing,Span,dV,AoA,Cx,Cy,Cz,dCx,dCy,dMz
6068,4,0,0.5,-10,-0.5,0.014187,0.14547000000000002,0.58017,-0.0028109999999999993,-0.11492000000000002,-0.34761
6069,4,0,0.5,-10,-1.0,0.01455,0.1061,0.58825,-0.002381000000000001,-0.1156631,-0.34848000000000007
6070,4,0,0.5,-10,-2.0,0.015903999999999998,0.02745,0.60278,-0.0015039999999999984,-0.11707100000000001,-0.35001
6071,4,0,0.5,-10,-4.0,0.021099,-0.12922,0.6252,0.0003009999999999992,-0.11956000000000003,-0.35214
6072,4,0,0.5,-8,12.0,0.070198,1.0953,0.15354,-0.008687999999999994,-0.07389999999999985,-0.248008
6073,4,0,0.5,-8,10.0,0.052603,0.94526,0.23146,-0.007934999999999998,-0.07783000000000007,-0.255727
6074,4,0,0.5,-8,9.0,0.044955,0.86911,0.26774000000000003,-0.007501000000000001,-0.07967000000000013,-0.25928740000000006
6075,4,0,0.5,-8,8.0,0.038098,0.79232,0.30218,-0.007031999999999997,-0.08145999999999998,-0.262653
6076,4,0,0.5,-8,7.0,0.032046,0.71496,0.33471,-0.006529999999999998,-0.08317000000000008,-0.265793
6077,4,0,0.5,-8,6.0,0.026811,0.6371100000000001,0.36530999999999997,-0.005995,-0.08483000000000007,-0.26872299999999993
6078,4,0,0.5,-8,5.5,0.024503999999999998,0.59802,0.37987,-0.005716999999999996,-0.08562999999999998,-0.2701
6079,4,0,0.5,-8,5.0,0.022404,0.55884,0.39394,-0.005430000000000001,-0.08642,-0.27144
6080,4,0,0.5,-8,4.5,0.020515000000000002,0.51957,0.4075,-0.005138,-0.08718000000000004,-0.27269999999999994
6081,4,0,0.5,-8,4.0,0.018835,0.48023000000000005,0.42056000000000004,-0.004838000000000002,-0.08793000000000006,-0.27392000000000005
6082,4,0,0.5,-8,3.5,0.017366,0.44082,0.4331,-0.004531,-0.08866000000000002,-0.27507
6083,4,0,0.5,-8,3.0,0.016109000000000002,0.40135,0.44514,-0.0042190000000000005,-0.08936,-0.27616999999999997
6084,4,0,0.5,-8,2.5,0.015064,0.36184,0.45665,-0.003901,-0.09005999999999997,-0.27720999999999996
6085,4,0,0.5,-8,2.0,0.014231,0.32229,0.46765,-0.003576000000000001,-0.09073000000000003,-0.27819000000000005
6086,4,0,0.5,-8,1.5,0.013611000000000002,0.28271,0.47813,-0.0032470000000000016,-0.09138000000000002,-0.27912000000000003
6087,4,0,0.5,-8,1.0,0.013203999999999999,0.24311999999999998,0.48808,-0.002912999999999999,-0.09200999999999998,-0.27998
6088,4,0,0.5,-8,0.5,0.013009,0.20352,0.4975,-0.0025730000000000006,-0.09262000000000001,-0.28078000000000003
6089,4,0,0.5,-8,0.0,0.013027,0.16392,0.5064,-0.002229,-0.093213,-0.28152999999999995
6090,4,0,0.5,-8,-0.5,0.013256,0.12433,0.51476,-0.0018799999999999997,-0.09378,-0.2822
6091,4,0,0.5,-8,-1.0,0.013697999999999998,0.084765,0.52259,-0.0015289999999999991,-0.0943281,-0.28282
6092,4,0,0.5,-8,-2.0,0.015212999999999999,0.0057406,0.53665,-0.0008129999999999995,-0.0953616,-0.28387999999999997
6093,4,0,0.5,-8,-4.0,0.020747,-0.15161,0.55834,0.0006529999999999973,-0.09717000000000003,-0.28528
6094,4,0,0.5,-6,12.0,0.068117,1.0798,0.09708,-0.006606999999999995,-0.05840000000000001,-0.191548
6095,4,0,0.5,-6,10.0,0.050615,0.9285399999999999,0.17271,-0.005947000000000001,-0.06111,-0.196977
6096,4,0,0.5,-6,9.0,0.043035000000000004,0.8518100000000001,0.20792,-0.005581000000000003,-0.06237000000000015,-0.1994674
6097,4,0,0.5,-6,8.0,0.036256000000000004,0.77445,0.24131999999999998,-0.00519,-0.06358999999999992,-0.20179299999999997
6098,4,0,0.5,-6,7.0,0.030294,0.6965399999999999,0.27288,-0.004778000000000001,-0.06474999999999997,-0.203963
6099,4,0,0.5,-6,6.0,0.025161000000000003,0.61815,0.30256,-0.004345000000000002,-0.06586999999999998,-0.205973
6100,4,0,0.5,-6,5.5,0.022909,0.5788,0.31668,-0.004121999999999997,-0.06640999999999997,-0.20691
6101,4,0,0.5,-6,5.0,0.020867,0.5393600000000001,0.33032,-0.0038930000000000006,-0.06694000000000006,-0.20782
6102,4,0,0.5,-6,4.5,0.019038,0.49983999999999995,0.34346,-0.0036609999999999976,-0.06745000000000001,-0.20865999999999998
6103,4,0,0.5,-6,4.0,0.017419999999999998,0.46025,0.35612,-0.003422999999999999,-0.06795000000000001,-0.20947999999999997
6104,4,0,0.5,-6,3.5,0.016017,0.42058999999999996,0.36828,-0.003182000000000001,-0.06842999999999999,-0.21025
6105,4,0,0.5,-6,3.0,0.014827000000000002,0.38089,0.37994,-0.0029370000000000004,-0.06890000000000002,-0.21097
6106,4,0,0.5,-6,2.5,0.013850999999999999,0.34114,0.39111,-0.0026879999999999994,-0.06935999999999998,-0.21167
6107,4,0,0.5,-6,2.0,0.013090000000000001,0.30136999999999997,0.40176,-0.0024350000000000014,-0.06980999999999998,-0.21230000000000002
6108,4,0,0.5,-6,1.5,0.012543,0.26156999999999997,0.41191000000000005,-0.0021790000000000004,-0.07023999999999997,-0.21290000000000006
6109,4,0,0.5,-6,1.0,0.012211,0.22175,0.42155,-0.0019199999999999998,-0.07064000000000001,-0.21344999999999997
6110,4,0,0.5,-6,0.5,0.012094,0.18194000000000002,0.43068,-0.0016580000000000015,-0.07104000000000002,-0.21396000000000004
6111,4,0,0.5,-6,0.0,0.012191,0.14214000000000002,0.43928999999999996,-0.0013930000000000001,-0.07143300000000001,-0.21441999999999997
6112,4,0,0.5,-6,-0.5,0.012501,0.10235,0.44738999999999995,-0.0011249999999999993,-0.0718,-0.21482999999999997
6113,4,0,0.5,-6,-1.0,0.013025,0.06258999999999999,0.45497,-0.0008560000000000009,-0.0721531,-0.2152
6114,4,0,0.5,-6,-2.0,0.014709999999999999,-0.016807,0.46857,-0.0003099999999999995,-0.072814,-0.2158
6115,4,0,0.5,-6,-4.0,0.020597,-0.17482999999999999,0.48953,0.0008029999999999982,-0.07395000000000004,-0.21647000000000005
6116,4,0,0.5,-4,12.0,0.06602899999999999,1.0629,0.037874,-0.004518999999999988,-0.04149999999999987,-0.132342
